"Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"Pan Integral 100g","1000000000070","Enlatados","2027-11-15","Dos Pinos","18.0","71"

"Papas Fritas 200g","1000000000071","Granos","2027-12-16","La Granja","18.75","72"

"Tortrix 300g","1000000000072","Lacteos","2027-01-17","Coca Cola","19.5","73"

"Atun en Lata 400g","1000000000073","Bebidas","2027-02-18","Pepsi","20.25","74"

"Frijoles Volteados 500g","1000000000074","Panaderia","2027-03-19","Bimbo","21.0","75"

"Arroz 100g","1000000000075","Snacks","2027-04-20","Lays","21.75","76"

"Azúcar 200g","1000000000076","Enlatados","2027-05-21","Tortrix","22.5","77"

"Café 300g","1000000000077","Granos","2027-06-22","Ducal","23.25","78"

"Agua Pura 400g","1000000000078","Lacteos","2027-07-23","Sardimar","24.0","79"

"Jugo 500g","1000000000079","Bebidas","2027-08-24","Gallo Dorado","24.75","80"

"Leche Entera 100g","1000000000080","Panaderia","2027-09-25","Dos Pinos","25.5","81"

"Queso Fresco 200g","1000000000081","Snacks","2027-10-26","La Granja","26.25","82"

"Yogurt 300g","1000000000082","Enlatados","2027-11-27","Coca Cola","27.0","83"

"Coca Cola 400g","1000000000083","Granos","2027-12-28","Pepsi","27.75","84"

"Pepsi 500g","1000000000084","Lacteos","2027-01-01","Bimbo","28.5","85"

"Pan Blanco 100g","1000000000085","Bebidas","2027-02-02","Lays","29.25","86"

"Pan Integral 200g","1000000000086","Panaderia","2027-03-03","Tortrix","30.0","87"

"Papas Fritas 300g","1000000000087","Snacks","2027-04-04","Ducal","30.75","88"

"Tortrix 400g","1000000000088","Enlatados","2027-05-05","Sardimar","31.5","89"

"Atun en Lata 500g","1000000000089","Granos","2027-06-06","Gallo Dorado","32.25","90"

"Frijoles Volteados 100g","1000000000090","Lacteos","2027-07-07","Dos Pinos","33.0","91"

"Arroz 200g","1000000000091","Bebidas","2027-08-08","La Granja","33.75","92"

"Azúcar 300g","1000000000092","Panaderia","2027-09-09","Coca Cola","34.5","93"

"Café 400g","1000000000093","Snacks","2027-10-10","Pepsi","35.25","94"

"Agua Pura 500g","1000000000094","Enlatados","2027-11-11","Bimbo","36.0","95"

"Jugo 100g","1000000000095","Granos","2027-12-12","Lays","36.75","96"

"Leche Entera 200g","1000000000096","Lacteos","2027-01-13","Tortrix","37.5","97"

"Queso Fresco 300g","1000000000097","Bebidas","2027-02-14","Ducal","38.25","98"

"Yogurt 400g","1000000000098","Panaderia","2027-03-15","Sardimar","39.0","99"

"Coca Cola 500g","1000000000099","Snacks","2027-04-16","Gallo Dorado","39.75","100"

"Pepsi 100g","1000000000100","Enlatados","2027-05-17","Dos Pinos","3.0","1"

"Pan Blanco 200g","1000000000101","Granos","2027-06-18","La Granja","3.75","2"

"Pan Integral 300g","1000000000102","Lacteos","2027-07-19","Coca Cola","4.5","3"

"Papas Fritas 400g","1000000000103","Bebidas","2027-08-20","Pepsi","5.25","4"

"Tortrix 500g","1000000000104","Panaderia","2027-09-21","Bimbo","6.0","5"

"Atun en Lata 100g","1000000000105","Snacks","2027-10-22","Lays","6.75","6"

"Frijoles Volteados 200g","1000000000106","Enlatados","2027-11-23","Tortrix","7.5","7"

"Arroz 300g","1000000000107","Granos","2027-12-24","Ducal","8.25","8"

"Azúcar 400g","1000000000108","Lacteos","2027-01-25","Sardimar","9.0","9"

"Café 500g","1000000000109","Bebidas","2027-02-26","Gallo Dorado","9.75","10"

"Agua Pura 100g","1000000000110","Panaderia","2027-03-27","Dos Pinos","10.5","11"

"Jugo 200g","1000000000111","Snacks","2027-04-28","La Granja","11.25","12"

"Leche Entera 300g","1000000000112","Enlatados","2027-05-01","Coca Cola","12.0","13"

"Queso Fresco 400g","1000000000113","Granos","2027-06-02","Pepsi","12.75","14"

"Yogurt 500g","1000000000114","Lacteos","2027-07-03","Bimbo","13.5","15"

"Coca Cola 100g","1000000000115","Bebidas","2027-08-04","Lays","14.25","16"

"Pepsi 200g","1000000000116","Panaderia","2027-09-05","Tortrix","15.0","17"

"Pan Blanco 300g","1000000000117","Snacks","2027-10-06","Ducal","15.75","18"

"Pan Integral 400g","1000000000118","Enlatados","2027-11-07","Sardimar","16.5","19"

"Papas Fritas 500g","1000000000119","Granos","2027-12-08","Gallo Dorado","17.25","20"

"Tortrix 100g","1000000000120","Lacteos","2027-01-09","Dos Pinos","18.0","21"

"Atun en Lata 200g","1000000000121","Bebidas","2027-02-10","La Granja","18.75","22"

"Frijoles Volteados 300g","1000000000122","Panaderia","2027-03-11","Coca Cola","19.5","23"

"Arroz 400g","1000000000123","Snacks","2027-04-12","Pepsi","20.25","24"

"Azúcar 500g","1000000000124","Enlatados","2027-05-13","Bimbo","21.0","25"

"Café 100g","1000000000125","Granos","2027-06-14","Lays","21.75","26"

"Agua Pura 200g","1000000000126","Lacteos","2027-07-15","Tortrix","22.5","27"

"Jugo 300g","1000000000127","Bebidas","2027-08-16","Ducal","23.25","28"

"Leche Entera 400g","1000000000128","Panaderia","2027-09-17","Sardimar","24.0","29"

"Queso Fresco 500g","1000000000129","Snacks","2027-10-18","Gallo Dorado","24.75","30"

"Yogurt 100g","1000000000130","Enlatados","2027-11-19","Dos Pinos","25.5","31"

"Coca Cola 200g","1000000000131","Granos","2027-12-20","La Granja","26.25","32"

"Pepsi 300g","1000000000132","Lacteos","2027-01-21","Coca Cola","27.0","33"

"Pan Blanco 400g","1000000000133","Bebidas","2027-02-22","Pepsi","27.75","34"

"Pan Integral 500g","1000000000134","Panaderia","2027-03-23","Bimbo","28.5","35"

"Papas Fritas 100g","1000000000135","Snacks","2027-04-24","Lays","29.25","36"

"Tortrix 200g","1000000000136","Enlatados","2027-05-25","Tortrix","30.0","37"

"Atun en Lata 300g","1000000000137","Granos","2027-06-26","Ducal","30.75","38"

"Frijoles Volteados 400g","1000000000138","Lacteos","2027-07-27","Sardimar","31.5","39"

"Arroz 500g","1000000000139","Bebidas","2027-08-28","Gallo Dorado","32.25","40"

"Azúcar 100g","1000000000140","Panaderia","2027-09-01","Dos Pinos","33.0","41"

"Café 200g","1000000000141","Snacks","2027-10-02","La Granja","33.75","42"

"Agua Pura 300g","1000000000142","Enlatados","2027-11-03","Coca Cola","34.5","43"

"Jugo 400g","1000000000143","Granos","2027-12-04","Pepsi","35.25","44"

"Leche Entera 500g","1000000000144","Lacteos","2027-01-05","Bimbo","36.0","45"

"Queso Fresco 100g","1000000000145","Bebidas","2027-02-06","Lays","36.75","46"

"Yogurt 200g","1000000000146","Panaderia","2027-03-07","Tortrix","37.5","47"

"Coca Cola 300g","1000000000147","Snacks","2027-04-08","Ducal","38.25","48"

"Pepsi 400g","1000000000148","Enlatados","2027-05-09","Sardimar","39.0","49"

"Pan Blanco 500g","1000000000149","Granos","2027-06-10","Gallo Dorado","39.75","50"

"Pan Integral 100g","1000000000150","Lacteos","2027-07-11","Dos Pinos","3.0","51"

"Papas Fritas 200g","1000000000151","Bebidas","2027-08-12","La Granja","3.75","52"

"Tortrix 300g","1000000000152","Panaderia","2027-09-13","Coca Cola","4.5","53"

"Atun en Lata 400g","1000000000153","Snacks","2027-10-14","Pepsi","5.25","54"

"Frijoles Volteados 500g","1000000000154","Enlatados","2027-11-15","Bimbo","6.0","55"

"Arroz 100g","1000000000155","Granos","2027-12-16","Lays","6.75","56"

"Azúcar 200g","1000000000156","Lacteos","2027-01-17","Tortrix","7.5","57"

"Café 300g","1000000000157","Bebidas","2027-02-18","Ducal","8.25","58"

"Agua Pura 400g","1000000000158","Panaderia","2027-03-19","Sardimar","9.0","59"

"Jugo 500g","1000000000159","Snacks","2027-04-20","Gallo Dorado","9.75","60"

"Leche Entera 100g","1000000000160","Enlatados","2027-05-21","Dos Pinos","10.5","61"

"Queso Fresco 200g","1000000000161","Granos","2027-06-22","La Granja","11.25","62"

"Yogurt 300g","1000000000162","Lacteos","2027-07-23","Coca Cola","12.0","63"

"Coca Cola 400g","1000000000163","Bebidas","2027-08-24","Pepsi","12.75","64"

"Pepsi 500g","1000000000164","Panaderia","2027-09-25","Bimbo","13.5","65"

"Pan Blanco 100g","1000000000165","Snacks","2027-10-26","Lays","14.25","66"

"Pan Integral 200g","1000000000166","Enlatados","2027-11-27","Tortrix","15.0","67"

"Papas Fritas 300g","1000000000167","Granos","2027-12-28","Ducal","15.75","68"

"Tortrix 400g","1000000000168","Lacteos","2027-01-01","Sardimar","16.5","69"

"Atun en Lata 500g","1000000000169","Bebidas","2027-02-02","Gallo Dorado","17.25","70"

"Frijoles Volteados 100g","1000000000170","Panaderia","2027-03-03","Dos Pinos","18.0","71"

"Arroz 200g","1000000000171","Snacks","2027-04-04","La Granja","18.75","72"

"Azúcar 300g","1000000000172","Enlatados","2027-05-05","Coca Cola","19.5","73"

"Café 400g","1000000000173","Granos","2027-06-06","Pepsi","20.25","74"

"Agua Pura 500g","1000000000174","Lacteos","2027-07-07","Bimbo","21.0","75"

"Jugo 100g","1000000000175","Bebidas","2027-08-08","Lays","21.75","76"

"Leche Entera 200g","1000000000176","Panaderia","2027-09-09","Tortrix","22.5","77"

"Queso Fresco 300g","1000000000177","Snacks","2027-10-10","Ducal","23.25","78"

"Yogurt 400g","1000000000178","Enlatados","2027-11-11","Sardimar","24.0","79"

"Coca Cola 500g","1000000000179","Granos","2027-12-12","Gallo Dorado","24.75","80"

"Pepsi 100g","1000000000180","Lacteos","2027-01-13","Dos Pinos","25.5","81"

"Pan Blanco 200g","1000000000181","Bebidas","2027-02-14","La Granja","26.25","82"

"Pan Integral 300g","1000000000182","Panaderia","2027-03-15","Coca Cola","27.0","83"

"Papas Fritas 400g","1000000000183","Snacks","2027-04-16","Pepsi","27.75","84"

"Tortrix 500g","1000000000184","Enlatados","2027-05-17","Bimbo","28.5","85"

"Atun en Lata 100g","1000000000185","Granos","2027-06-18","Lays","29.25","86"

"Frijoles Volteados 200g","1000000000186","Lacteos","2027-07-19","Tortrix","30.0","87"

"Arroz 300g","1000000000187","Bebidas","2027-08-20","Ducal","30.75","88"

"Azúcar 400g","1000000000188","Panaderia","2027-09-21","Sardimar","31.5","89"

"Café 500g","1000000000189","Snacks","2027-10-22","Gallo Dorado","32.25","90"

"Agua Pura 100g","1000000000190","Enlatados","2027-11-23","Dos Pinos","33.0","91"

"Jugo 200g","1000000000191","Granos","2027-12-24","La Granja","33.75","92"

"Leche Entera 300g","1000000000192","Lacteos","2027-01-25","Coca Cola","34.5","93"

"Queso Fresco 400g","1000000000193","Bebidas","2027-02-26","Pepsi","35.25","94"

"Yogurt 500g","1000000000194","Panaderia","2027-03-27","Bimbo","36.0","95"

"Coca Cola 100g","1000000000195","Snacks","2027-04-28","Lays","36.75","96"

"Pepsi 200g","1000000000196","Enlatados","2027-05-01","Tortrix","37.5","97"

"Pan Blanco 300g","1000000000197","Granos","2027-06-02","Ducal","38.25","98"

"Pan Integral 400g","1000000000198","Lacteos","2027-07-03","Sardimar","39.0","99"

"Papas Fritas 500g","1000000000199","Bebidas","2027-08-04","Gallo Dorado","39.75","100"

"Tortrix 100g","1000000000200","Panaderia","2027-09-05","Dos Pinos","3.0","1"

"Atun en Lata 200g","1000000000201","Snacks","2027-10-06","La Granja","3.75","2"

"Frijoles Volteados 300g","1000000000202","Enlatados","2027-11-07","Coca Cola","4.5","3"

"Arroz 400g","1000000000203","Granos","2027-12-08","Pepsi","5.25","4"

"Azúcar 500g","1000000000204","Lacteos","2027-01-09","Bimbo","6.0","5"

"Café 100g","1000000000205","Bebidas","2027-02-10","Lays","6.75","6"

"Agua Pura 200g","1000000000206","Panaderia","2027-03-11","Tortrix","7.5","7"

"Jugo 300g","1000000000207","Snacks","2027-04-12","Ducal","8.25","8"

"Leche Entera 400g","1000000000208","Enlatados","2027-05-13","Sardimar","9.0","9"

"Queso Fresco 500g","1000000000209","Granos","2027-06-14","Gallo Dorado","9.75","10"

"Yogurt 100g","1000000000210","Lacteos","2027-07-15","Dos Pinos","10.5","11"

"Coca Cola 200g","1000000000211","Bebidas","2027-08-16","La Granja","11.25","12"

"Pepsi 300g","1000000000212","Panaderia","2027-09-17","Coca Cola","12.0","13"

"Pan Blanco 400g","1000000000213","Snacks","2027-10-18","Pepsi","12.75","14"

"Pan Integral 500g","1000000000214","Enlatados","2027-11-19","Bimbo","13.5","15"

"Papas Fritas 100g","1000000000215","Granos","2027-12-20","Lays","14.25","16"

"Tortrix 200g","1000000000216","Lacteos","2027-01-21","Tortrix","15.0","17"

"Atun en Lata 300g","1000000000217","Bebidas","2027-02-22","Ducal","15.75","18"

"Frijoles Volteados 400g","1000000000218","Panaderia","2027-03-23","Sardimar","16.5","19"

"Arroz 500g","1000000000219","Snacks","2027-04-24","Gallo Dorado","17.25","20"

"Azúcar 100g","1000000000220","Enlatados","2027-05-25","Dos Pinos","18.0","21"

"Café 200g","1000000000221","Granos","2027-06-26","La Granja","18.75","22"

"Agua Pura 300g","1000000000222","Lacteos","2027-07-27","Coca Cola","19.5","23"

"Jugo 400g","1000000000223","Bebidas","2027-08-28","Pepsi","20.25","24"

"Leche Entera 500g","1000000000224","Panaderia","2027-09-01","Bimbo","21.0","25"

"Queso Fresco 100g","1000000000225","Snacks","2027-10-02","Lays","21.75","26"

"Yogurt 200g","1000000000226","Enlatados","2027-11-03","Tortrix","22.5","27"

"Coca Cola 300g","1000000000227","Granos","2027-12-04","Ducal","23.25","28"

"Pepsi 400g","1000000000228","Lacteos","2027-01-05","Sardimar","24.0","29"

"Pan Blanco 500g","1000000000229","Bebidas","2027-02-06","Gallo Dorado","24.75","30"

"Pan Integral 100g","1000000000230","Panaderia","2027-03-07","Dos Pinos","25.5","31"

"Papas Fritas 200g","1000000000231","Snacks","2027-04-08","La Granja","26.25","32"

"Tortrix 300g","1000000000232","Enlatados","2027-05-09","Coca Cola","27.0","33"

"Atun en Lata 400g","1000000000233","Granos","2027-06-10","Pepsi","27.75","34"

"Frijoles Volteados 500g","1000000000234","Lacteos","2027-07-11","Bimbo","28.5","35"

"Arroz 100g","1000000000235","Bebidas","2027-08-12","Lays","29.25","36"

"Azúcar 200g","1000000000236","Panaderia","2027-09-13","Tortrix","30.0","37"

"Café 300g","1000000000237","Snacks","2027-10-14","Ducal","30.75","38"

"Agua Pura 400g","1000000000238","Enlatados","2027-11-15","Sardimar","31.5","39"

"Jugo 500g","1000000000239","Granos","2027-12-16","Gallo Dorado","32.25","40"

"Leche Entera 100g","1000000000240","Lacteos","2027-01-17","Dos Pinos","33.0","41"

"Queso Fresco 200g","1000000000241","Bebidas","2027-02-18","La Granja","33.75","42"

"Yogurt 300g","1000000000242","Panaderia","2027-03-19","Coca Cola","34.5","43"

"Coca Cola 400g","1000000000243","Snacks","2027-04-20","Pepsi","35.25","44"

"Pepsi 500g","1000000000244","Enlatados","2027-05-21","Bimbo","36.0","45"

"Pan Blanco 100g","1000000000245","Granos","2027-06-22","Lays","36.75","46"

"Pan Integral 200g","1000000000246","Lacteos","2027-07-23","Tortrix","37.5","47"

"Papas Fritas 300g","1000000000247","Bebidas","2027-08-24","Ducal","38.25","48"

"Tortrix 400g","1000000000248","Panaderia","2027-09-25","Sardimar","39.0","49"

"Atun en Lata 500g","1000000000249","Snacks","2027-10-26","Gallo Dorado","39.75","50"

"Frijoles Volteados 100g","1000000000250","Enlatados","2027-11-27","Dos Pinos","3.0","51"

"Arroz 200g","1000000000251","Granos","2027-12-28","La Granja","3.75","52"

"Azúcar 300g","1000000000252","Lacteos","2027-01-01","Coca Cola","4.5","53"

"Café 400g","1000000000253","Bebidas","2027-02-02","Pepsi","5.25","54"

"Agua Pura 500g","1000000000254","Panaderia","2027-03-03","Bimbo","6.0","55"

"Jugo 100g","1000000000255","Snacks","2027-04-04","Lays","6.75","56"

"Leche Entera 200g","1000000000256","Enlatados","2027-05-05","Tortrix","7.5","57"

"Queso Fresco 300g","1000000000257","Granos","2027-06-06","Ducal","8.25","58"

"Yogurt 400g","1000000000258","Lacteos","2027-07-07","Sardimar","9.0","59"

"Coca Cola 500g","1000000000259","Bebidas","2027-08-08","Gallo Dorado","9.75","60"

"Pepsi 100g","1000000000260","Panaderia","2027-09-09","Dos Pinos","10.5","61"

"Pan Blanco 200g","1000000000261","Snacks","2027-10-10","La Granja","11.25","62"

"Pan Integral 300g","1000000000262","Enlatados","2027-11-11","Coca Cola","12.0","63"

"Papas Fritas 400g","1000000000263","Granos","2027-12-12","Pepsi","12.75","64"

"Tortrix 500g","1000000000264","Lacteos","2027-01-13","Bimbo","13.5","65"

"Atun en Lata 100g","1000000000265","Bebidas","2027-02-14","Lays","14.25","66"

"Frijoles Volteados 200g","1000000000266","Panaderia","2027-03-15","Tortrix","15.0","67"

"Arroz 300g","1000000000267","Snacks","2027-04-16","Ducal","15.75","68"

"Azúcar 400g","1000000000268","Enlatados","2027-05-17","Sardimar","16.5","69"

"Café 500g","1000000000269","Granos","2027-06-18","Gallo Dorado","17.25","70"

"Agua Pura 100g","1000000000270","Lacteos","2027-07-19","Dos Pinos","18.0","71"

"Jugo 200g","1000000000271","Bebidas","2027-08-20","La Granja","18.75","72"

"Leche Entera 300g","1000000000272","Panaderia","2027-09-21","Coca Cola","19.5","73"

"Queso Fresco 400g","1000000000273","Snacks","2027-10-22","Pepsi","20.25","74"

"Yogurt 500g","1000000000274","Enlatados","2027-11-23","Bimbo","21.0","75"

"Coca Cola 100g","1000000000275","Granos","2027-12-24","Lays","21.75","76"

"Pepsi 200g","1000000000276","Lacteos","2027-01-25","Tortrix","22.5","77"

"Pan Blanco 300g","1000000000277","Bebidas","2027-02-26","Ducal","23.25","78"

"Pan Integral 400g","1000000000278","Panaderia","2027-03-27","Sardimar","24.0","79"

"Papas Fritas 500g","1000000000279","Snacks","2027-04-28","Gallo Dorado","24.75","80"

"Tortrix 100g","1000000000280","Enlatados","2027-05-01","Dos Pinos","25.5","81"

"Atun en Lata 200g","1000000000281","Granos","2027-06-02","La Granja","26.25","82"

"Frijoles Volteados 300g","1000000000282","Lacteos","2027-07-03","Coca Cola","27.0","83"

"Arroz 400g","1000000000283","Bebidas","2027-08-04","Pepsi","27.75","84"

"Azúcar 500g","1000000000284","Panaderia","2027-09-05","Bimbo","28.5","85"

"Café 100g","1000000000285","Snacks","2027-10-06","Lays","29.25","86"

"Agua Pura 200g","1000000000286","Enlatados","2027-11-07","Tortrix","30.0","87"

"Jugo 300g","1000000000287","Granos","2027-12-08","Ducal","30.75","88"

"Leche Entera 400g","1000000000288","Lacteos","2027-01-09","Sardimar","31.5","89"

"Queso Fresco 500g","1000000000289","Bebidas","2027-02-10","Gallo Dorado","32.25","90"

"Yogurt 100g","1000000000290","Panaderia","2027-03-11","Dos Pinos","33.0","91"

"Coca Cola 200g","1000000000291","Snacks","2027-04-12","La Granja","33.75","92"

"Pepsi 300g","1000000000292","Enlatados","2027-05-13","Coca Cola","34.5","93"

"Pan Blanco 400g","1000000000293","Granos","2027-06-14","Pepsi","35.25","94"

"Pan Integral 500g","1000000000294","Lacteos","2027-07-15","Bimbo","36.0","95"

"Papas Fritas 100g","1000000000295","Bebidas","2027-08-16","Lays","36.75","96"

"Tortrix 200g","1000000000296","Panaderia","2027-09-17","Tortrix","37.5","97"

"Atun en Lata 300g","1000000000297","Snacks","2027-10-18","Ducal","38.25","98"

"Frijoles Volteados 400g","1000000000298","Enlatados","2027-11-19","Sardimar","39.0","99"

"Arroz 500g","1000000000299","Granos","2027-12-20","Gallo Dorado","39.75","100"

"Azúcar 100g","1000000000300","Lacteos","2027-01-21","Dos Pinos","3.0","1"

"Café 200g","1000000000301","Bebidas","2027-02-22","La Granja","3.75","2"

"Agua Pura 300g","1000000000302","Panaderia","2027-03-23","Coca Cola","4.5","3"

"Jugo 400g","1000000000303","Snacks","2027-04-24","Pepsi","5.25","4"

"Leche Entera 500g","1000000000304","Enlatados","2027-05-25","Bimbo","6.0","5"

"Queso Fresco 100g","1000000000305","Granos","2027-06-26","Lays","6.75","6"

"Yogurt 200g","1000000000306","Lacteos","2027-07-27","Tortrix","7.5","7"

"Coca Cola 300g","1000000000307","Bebidas","2027-08-28","Ducal","8.25","8"

"Pepsi 400g","1000000000308","Panaderia","2027-09-01","Sardimar","9.0","9"

"Pan Blanco 500g","1000000000309","Snacks","2027-10-02","Gallo Dorado","9.75","10"

"Pan Integral 100g","1000000000310","Enlatados","2027-11-03","Dos Pinos","10.5","11"

"Papas Fritas 200g","1000000000311","Granos","2027-12-04","La Granja","11.25","12"

"Tortrix 300g","1000000000312","Lacteos","2027-01-05","Coca Cola","12.0","13"

"Atun en Lata 400g","1000000000313","Bebidas","2027-02-06","Pepsi","12.75","14"

"Frijoles Volteados 500g","1000000000314","Panaderia","2027-03-07","Bimbo","13.5","15"

"Arroz 100g","1000000000315","Snacks","2027-04-08","Lays","14.25","16"

"Azúcar 200g","1000000000316","Enlatados","2027-05-09","Tortrix","15.0","17"

"Café 300g","1000000000317","Granos","2027-06-10","Ducal","15.75","18"

"Agua Pura 400g","1000000000318","Lacteos","2027-07-11","Sardimar","16.5","19"

"Jugo 500g","1000000000319","Bebidas","2027-08-12","Gallo Dorado","17.25","20"

"Leche Entera 100g","1000000000320","Panaderia","2027-09-13","Dos Pinos","18.0","21"

